-4,-12,1027,16,-15,-22,Still
-4,-4,1043,13,-16,-21,Still
-8,-4,1027,20,-15,-20,Still
-8,-4,1027,16,-15,-22,Still
-8,0,1035,16,-15,-21,Still
0,-8,1020,15,-15,-16,Still
4,-8,1016,16,-12,-21,Still
-4,-16,1031,15,-12,-15,Still
-11,-12,1031,6,-39,-20,Still
0,-12,1039,16,-34,-24,Still
4,-12,1035,16,-30,-15,Still
12,-4,1023,-4,-46,-21,Still
4,-19,1039,-59,-49,-21,Still
20,-39,1023,19,10,14,Still
24,-74,1160,-515,76,-35,Still
-4,-129,957,96,280,-55,Still
-89,-66,1102,-68,636,-83,Still
-261,-78,934,16,560,0,Still
-303,-98,977,73,288,47,Still
-323,-86,930,33,63,7,Still
-331,-86,938,-3,26,-21,Still
-339,-113,930,52,-108,-41,Still
-350,-66,957,150,-9,44,Still
-343,-43,961,25,-140,-3,Still
-288,-51,1031,-40,-276,-132,Still
-276,-43,926,89,-223,-75,Still
-190,-62,1039,126,-234,-16,Still
-190,-8,1047,171,-151,-9,Still
-182,12,1020,-36,-58,-19,Still
-155,-19,1008,-137,-39,-19,Still
-155,-59,1027,-39,-18,-40,Still
-163,-51,1016,22,-18,-30,Still
-147,-62,1016,32,-27,-22,Still
-132,-82,1012,18,0,-25,Still
-116,-66,1008,43,42,-54,Still
-155,-51,1016,22,1,-13,Still
-163,-59,1012,9,-16,-13,Still
-163,-59,1000,40,-7,-19,Still
-171,-43,1027,18,-36,-21,Still
-167,-39,1016,25,-74,-5,Still
-143,-47,1020,-1,-94,-14,Still
-132,-55,1000,15,-43,-30,Still
-132,-47,1016,7,-36,-22,Still
-128,-59,1035,2,-11,-19,Still
-128,-55,1008,-9,17,-21,Still
-136,-66,1020,-11,19,-26,Still
-147,-74,1012,16,8,-21,Still
-155,-66,1012,29,24,-14,Still
-155,-51,1020,-16,56,-19,Still
-186,-74,1008,-20,53,-22,Still
-190,-74,1008,13,-9,-20,Still
-182,-62,1008,11,-39,-26,Still
-175,-70,1008,23,-48,-21,Still
-178,-86,996,77,-108,-19,Still
-136,-47,1031,114,-158,-29,Still
-108,-27,1023,155,-179,-33,Still
-108,58,1016,90,-143,-87,Still
-85,-4,1035,96,-46,-24,Still
-85,20,1020,67,-39,-24,Still
-81,26,1023,17,-23,-19,Still
-65,23,1023,33,-30,-24,Still
-65,-12,1035,-2,-2,-38,Still
-93,23,1027,4,-33,-22,Still
-73,26,1012,-58,-122,-21,Still
-38,30,1027,0,-107,-24,Still
-30,8,1016,20,-79,-34,Still
-11,12,1020,15,-51,-25,Still
-18,38,1070,38,90,-56,Still
-22,20,1027,10,-34,-14,Still
-18,4,1023,-54,-122,14,Still
-14,8,1020,-23,29,-19,Still
-11,-4,1016,-18,3,-21,Still
-11,-16,1016,-27,41,-26,Still
-22,-19,1023,-64,133,-10,Still
-53,-31,1016,9,-4,-27,Still
-69,-27,1016,24,-23,-22,Still
-53,-51,1031,30,-9,-17,Still
-50,-35,1020,14,24,-15,Still
-50,-51,1020,-9,28,-20,Still
-77,-51,1023,9,1,-9,Still
-81,-51,1023,33,3,-16,Still
-81,-47,1031,27,-6,-16,Still
-77,-35,1016,23,0,-17,Still
-81,-27,1031,25,5,-19,Still
-85,-43,1023,27,-4,-22,Still
-89,-39,1027,32,-16,-16,Still
-93,-27,1020,29,-28,-24,Still
-85,-31,1012,29,-15,-22,Still
-77,-35,1031,2,-53,-24,Still
-85,-43,1016,24,-43,-19,Still
-77,-43,1039,68,-37,-12,Still
-53,-39,1035,144,-51,-27,Still
-65,16,1035,-8,-71,-70,Still
-61,-12,1027,-29,14,-14,Still
-46,4,1023,41,-19,-40,Still
-65,-4,1051,82,-14,-51,Still
-65,12,1023,67,3,10,Still
-50,34,1023,63,-14,21,Still
-53,12,1027,-6,-25,-40,Still
-46,30,1008,-5,-41,-36,Still
-61,30,1055,41,-27,73,Still
-30,4,1047,-43,-94,-27,Still
-57,46,949,13,117,-34,Still
-26,8,1031,41,-15,-41,Still
-46,16,1020,16,-50,-91,Still
-46,8,1031,28,-36,-83,Still
-38,-70,1023,30,27,-59,Still
-65,-59,1004,13,57,96,Still
-61,-39,1031,-22,-4,176,Still
-104,-16,1027,-7,0,182,Still
-120,12,1016,4,1,176,Still
-93,50,1027,37,-36,94,Still
-61,34,1039,11,72,-80,Still
-96,38,1023,-75,63,-114,Still
-112,23,1059,-120,155,-182,Still
-221,8,961,19,204,-392,Still
-171,-27,926,201,-347,-348,Still
-85,-105,1055,-21,-139,-209,Still
-96,-102,973,26,-93,-88,Still
-46,-125,1055,52,17,21,Still
-26,-113,1008,22,10,181,Still
-77,-62,1047,9,129,245,Still
-155,-59,965,-8,106,240,Still
-178,38,1063,9,-29,103,Still
-194,50,957,154,79,29,Still
-124,50,1070,22,-205,-113,Still
-124,30,1023,99,-177,-141,Still
-69,-51,1031,29,-112,-130,Still
-34,-86,1016,-50,-134,-91,Still
-42,-16,1031,-33,-126,-50,Still
-34,-27,1039,-38,-66,-102,Still
-4,-47,1027,-84,-93,-170,Still
4,-109,996,-64,-43,-100,Still
-34,-94,969,14,-83,-18,Still
-26,-70,1082,10,-46,-108,Still
-14,-90,1016,43,106,-90,Still
-4,-109,1020,39,33,-66,Still
-4,-121,1047,36,101,24,Still
-38,-51,1027,91,60,0,Still
-8,-117,1047,-11,53,-3,Still
-61,-98,1000,18,64,279,Still
-65,-78,992,32,53,119,Still
-73,-43,992,-12,-9,53,Still
-26,-35,1020,-30,-4,56,Still
4,-16,1031,-61,-24,51,Still
-61,-78,1020,-61,-49,0,Still
-93,-35,1012,2,-30,-23,Still
-34,-59,1008,38,-62,-42,Still
-124,-168,1063,-68,-196,-35,Still
-96,-160,988,-14,-48,138,Still
-151,26,1094,144,51,206,Still
-124,81,1016,102,83,46,Still
4,-70,1027,-29,-58,124,Still
-34,-98,988,-13,-43,-24,Still
-30,-12,1023,-34,-11,-33,Still
